Comment,Designator,Footprint,LCSC,Quantity
0.1uF,"C10,C18,C19,C44,C45,C46,C7,C9",C_0402_1005Metric,C1525,8
0.22uF,C13,C_0402_1005Metric,C16772,1
1.8nF,C27,C_0402_1005Metric,C107024,1
100k,"R49,R53,R55",R_0201_0603Metric,C106224,3
100k,"R13,R14",R_0402_1005Metric,C25092,2
100pF,C36,C_0402_1005Metric,C1546,1
10R 0.25W,R54,R_0402_1005Metric,C25077,1
10k,"R40,R42,R47",R_0201_0603Metric,C106225,3
10nF,"C33,C35",C_0402_1005Metric,C15195,2
10nF,C22,C_0201_0603Metric,C85930,1
10nF X7R,C43,C_0402_1005Metric,C15195,1
10pF,"C25,C26",C_0402_1005Metric,C32949,2
18,R48,R_0402_1005Metric,C25084,1
1k,"R2,R3,R4,R5,R50,R51,R52,R56,R59",R_0201_0603Metric,C138165,9
1uF,"C16,C17,C24,C8",C_0402_1005Metric,C52923,4
2.2pF,C41,C_0402_1005Metric,C88887,1
2.49k,R37,R_0402_1005Metric,C145071,1
22,"R1,R9",R_0201_0603Metric,C155743,2
27k,"R15,R16",R_0402_1005Metric,C138022,2
3.3k,"R18,R19",R_0402_1005Metric,C25890,2
32.768khz,Y2,Crystal_SMD_MicroCrystal_CM9V-T1A-2Pin_1.6x1.0mm,C179633,1
39pF,C40,C_0402_1005Metric,C327068,1
4.7uF,"C20,C21",C_0402_1005Metric,C23733,2
40mhz 8pF 30 Ohms,Y1,Crystal_SMD_Abracon_ABM10-4Pin_2.5x2.0mm,C2613038,1
47nF,"C29,C30,C32,C34,C47,C48,C49,C50,C51",C_0201_0603Metric,C88917,9
47pF,C52,C_0402_1005Metric,C76970,1
47uF,C23,C_1206_3216Metric,C96123,1
5.1pF,"C37,C38,C39",C_0402_1005Metric,C281761,3
5.6k,R46,R_0201_0603Metric,C138132,1
56k,"R12,R21",R_0402_1005Metric,C114756,2
56pF,C31,C_0402_1005Metric,C162113,1
6.2pF,C42,C_0402_1005Metric,C161332,1
8.06k,R41,R_0201_0603Metric,C327379,1
8pF,"C5,C6",C_0402_1005Metric,C1549,2
9.09k,R43,R_0201_0603Metric,C158315,1
ADXL375,U3,LGA-14_3x5mm_P0.8mm_LayoutBorder1x6y,C579466,1
AO3400A,Q2,SOT-23,C20917,1
ATSAMD21G17D-A,U9,TQFP-48_7x7mm_P0.5mm,C619065,1
BAT54CW,D2,SOT-323_SC-70,C82467,1
CC1200,U8,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,C122881,1
CPT-7502-65-SMT-TR,U11,XDCR_CPT-7502-65-SMT-TR,C25504047,1
Conn_01x04_MountingPin,J10,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,C160390,1
DRV5012AEDMRR,U7,Texas_X2SON-4-1EP_1.1x1.4mm_P0.5mm_EP0.8x0.6mm,C2655038,1
ECS-160-8-36Q-AES-TR1,X2,Crystal_SMD_2520-4Pin_2.5x2.0mm,C1669787,1
LED_Dual_AAKK,"D3,D4,D5",DualLED0606,C183840,3
LI0402C221R-10,FB1,L_0402_1005Metric,C269768,1
LM293QT,U12,DFN-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,C2970217,1
LQG15HS15NJ02D,"L5,L6",L_0402_1005Metric,C86059,2
LQG15HS22NG02D,L8,L_0402_1005Metric,C12670,1
LQG15HS47NJ02,FB2,L_0402_1005Metric,C97998,1
LQG15HS56NJ02D,"L1,L2",L_0402_1005Metric,C162544,2
LQG15HZ27NJ02D,"L3,L4",L_0402_1005Metric,C560069,2
MCP130-xxxxTT,U6,SOT-23,C410526,1
MCP73831-2-OT,U17,SOT-23-5,C14879,1
MIA-M10Q,U1,ublox_LGA-53_4.5x4.5mm_Layout9x9_P0.5mm,C6990279,1
MLG1005S43NJTD25,L7,L_0402_1005Metric,C2042359,1
MS5607-02BA,U4,LGA-8_3x5mm_P1.25mm,C97627,1
PPS,D6,LED_0402_1005Metric,C364550,1
SAFFB1G58KA0F0A,FL1,Filter_1109-5_1.1x0.9mm,C91641,1
SISB46DN,U20,PowerPak1212-8-Dual,C22366987,1
SN74LVC1G80QDCKTQ1,U21,SOT-353_SC-70-5,C473331,1
SiA449DJ,"Q1,Q3",Vishay_PowerPAK_SC70-6L_Single,C727325,2
TC2185-3.3VxCTTR,U18,SOT-23-5,C2798212,1
UFL,J5,U.FL_Molex_MCRF_73412-0110_Vertical,C277719,1
W25Q64JVXGIQ,U19,DFN_XGIQ TR_WIN,C2940195,1
WE-TVS-82400102,U2,SOT-23-6,C1975330,1
Screw_Terminal_01x03,J4,"TerminalBlock_Phoenix_MPT-0,5-3-2.54_1x03_P2.54mm_Horizontal",,1
Conn_01x02,J6,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,,1
SMA_Edgelaunch,J3,SMA_Amphenol_132289_EdgeMount,,1
